,,aaeon,,,,acelin,,,,方向(0:出/1:進),備註
時間,肉眼辨識車牌,完全正確,模糊,辨識結果,是否有資料,完全正確,模糊,辨識結果,是否有資料
"2023/7/30,4:32:34",,0,0,A11,1,,,,,
"2023/7/30,4:39:30",,0,0,BA1,1,,,,,
"2023/7/30,4:46:10",,0,0,AA11,1,,,,,
"2023/7/30,4:53:5",,0,0,BA1,1,,,,,
"2023/7/30,5:0:3",,0,0,AT11,1,,,,,
"2023/7/30,5:6:50",,0,0,BA1,1,,,,,
"2023/7/30,6:27:5",,0,0,A11,1,,,,,
"2023/7/30,6:53:22",,0,0,A11,1,,,,,
"2023/7/30,6:59:44",,0,0,AA11,1,,,,,
"2023/7/30,6:14:46",AKK6720,,,,,1,1,AKK6720,1,1,
"2023/7/30,7:31:58",,0,0,A111,1,,,,,
"2023/7/30,12:35:49",,0,0,A121,1,,,,,
"2023/7/30,12:42:27",,0,0,AL11A1,1,,,,,
"2023/7/30,13:6:49",,0,0,AA1AA9,1,,,,,
"2023/7/30,13:18:48",,0,0,AL111,1,,,,,
"2023/7/30,13:31:26",,0,0,A111,1,,,,,
"2023/7/30,13:37:22",,0,0,AA11,1,,,,,
"2023/7/30,13:43:30",,0,0,AAL11,1,,,,,
"2023/7/30,13:49:6",,0,0,AT111,1,,,,,
"2023/7/30,13:55:12",,0,0,AT111,1,,,,,
"2023/7/30,14:8:13",,0,0,AL1119,1,,,,,
"2023/7/30,14:14:19",,0,0,AL11A1,1,,,,,
"2023/7/30,14:32:36",,0,0,AT1111,1,,,,,
"2023/7/30,14:38:50",,0,0,A111,1,,,,,
"2023/7/30,14:39:39",,0,0,A1A1A1,1,,,,,
"2023/7/30,14:45:9",,0,0,A111,1,,,,,
"2023/7/30,14:57:32",,0,0,A117,1,,,,,
"2023/7/30,16:1:36",,0,0,A11,1,,,,,
"2023/7/30,16:39:14",,0,0,A31,1,,,,,
"2023/7/30,17:3:12",,0,0,AF11,1,,,,,
"2023/7/30,17:22:23",,0,0,A11,1,,,,,
"2023/7/30,17:34:41",,0,0,AL111,1,,,,,
"2023/7/30,8:16:0",5026QM,1,1,5026QM,1,1,1,5026QM,1,0,
"2023/7/30,8:25:51",BBM9626,,,,,1,1,BBM9626,1,0,
"2023/7/30,10:0:9",BPM3215,,,,,1,1,BPM3215,1,0,
"2023/7/30,10:2:53",5118S7,,,,,1,1,5118S7,1,0,
"2023/7/30,10:37:43",BEE7158,,,,,1,1,BEE7158,1,0,
"2023/7/30,11:1:30",2028H9,,,,,1,1,2028H9,1,0,
"2023/7/30,12:15:16",AGU1550,,,,,1,1,AGU1550,1,1,
"2023/7/30,17:48:33",,0,0,A111,1,,,,,
"2023/7/30,12:30:40",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,0,
"2023/7/30,12:31:18",AAD7379,,,,,1,1,AAD7379,1,0,
"2023/7/30,13:31:16",BBA1339,,,,,1,1,BBA1339,1,0,
"2023/7/30,14:23:10",5118S7,,,,,1,1,5118S7,1,1,
"2023/7/30,17:52:23",,0,0,A119,1,,,,,
"2023/7/30,17:58:16",,0,0,BA1AX9,1,,,,,
"2023/7/30,18:17:34",,0,0,AL111,1,,,,,
"2023/7/30,18:30:23",,0,0,AT111,1,,,,,
"2023/7/30,14:36:7",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,0,
"2023/7/30,16:43:21",BEE7158,,,,,1,1,BEE7158,1,1,
"2023/7/30,17:9:8",AAD7379,,,,,1,1,AAD7379,1,1,
"2023/7/30,17:26:4",5026QM,,,,,1,1,5026QM,1,1,
"2023/7/30,17:31:52",ATL6867,,,,,1,1,ATL6867,1,1,
"2023/7/30,17:33:18",1803H9,,,,,1,1,1803H9,1,0,
"2023/7/30,17:35:58",APN7596,,,,,1,1,APN7596,1,0,
"2023/7/30,17:41:56",AKK8125,,,,,1,1,AKK8125,1,0,
"2023/7/30,17:46:47",2028H9,,,,,1,1,2028H9,1,1,
"2023/7/30,18:43:6",,0,0,A11,1,,,,,
"2023/7/30,18:56:47",,0,0,AAT111,1,,,,,
"2023/7/30,19:3:44",,0,0,AAT11,1,,,,,
"2023/7/30,19:19:29",,0,0,A11A1,1,,,,,
"2023/7/30,19:52:27",,0,0,1AL1,1,,,,,
"2023/7/30,20:16:22",,0,0,BA1,1,,,,,
"2023/7/30,18:20:41",BFM1090,1,1,BFM1090,1,1,1,BFM1090,1,1,
"2023/7/30,18:34:30",BBE2770,,,,,1,1,BBE2770,1,1,
"2023/7/30,18:56:45",BPM3215,,,,,1,1,BPM3215,1,1,
"2023/7/30,19:47:26",BBE2770,,,,,1,1,BBE2770,1,0,
"2023/7/30,20:21:25",,0,0,AA11A1,1,,,,,
"2023/7/30,20:19:30",BFM1090,,,,,1,1,BFM1090,1,0,
"2023/7/30,20:38:38",1803H9,1,1,1803H9,1,1,1,1803H9,1,1,
"2023/7/30,20:51:18",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,1,
"2023/7/30,20:54:48",,0,0,A1AX9,1,,,,,
"2023/7/30,21:6:15",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,0,
"2023/7/30,21:7:14",APN7596,1,1,APN7596,1,1,1,APN7596,1,1,
"2023/7/30,21:9:5",,0,0,AA111,1,,,,,
"2023/7/30,21:16:32",BBA1339,1,1,BBA1339,1,1,1,BBA1339,1,1,
"2023/7/30,21:55:23",BJW9155,,,,,1,1,BJW9155,1,0,
"2023/7/30,21:57:24",BFM1090,,,,,1,1,BFM1090,1,1,
"2023/7/30,21:23:57",,0,0,A1A111,1,,,,,
"2023/7/30,22:1:27",,0,0,BA1,1,,,,,
"2023/7/30,22:0:58",AAD7379,1,1,AAD7379,1,1,1,AAD7379,1,1,
"2023/7/30,22:5:14",,0,0,AL1A79,1,,,,,
"2023/7/30,22:12:3",,0,0,AA11,1,,,,,
"2023/7/30,22:22:25",,0,0,AA1,1,,,,,
"2023/7/30,22:34:9",,0,0,AA1,1,,,,,
"2023/7/30,22:35:57",BJW9155,,,,,1,1,BJW9155,1,1,
"2023/7/30,22:36:30",BBM9626,1,1,BBM9626,1,1,1,BBM9626,1,1,
"2023/7/30,22:40:56",,0,0,TAA1A9,1,,,,,
"2023/7/30,22:56:8",,0,0,BA1,1,,,,,
"2023/7/30,23:14:35",,0,0,AA11,1,,,,,
"2023/7/30,23:23:37",,0,0,AA11,1,,,,,
"2023/7/30,23:32:29",,0,0,AA11,1,,,,,
"2023/7/30,23:41:18",,0,0,AT11,1,,,,,
"2023/7/30,23:49:48",,0,0,AA11,1,,,,,
"2023/7/30,23:58:34",,0,0,AAT11,1,,,,,
"2023/7/31,0:7:3",,0,0,BA11,1,,,,,
"2023/7/31,0:23:54",,0,0,1A3,1,,,,,
"2023/7/31,0:31:53",,0,0,A11,1,,,,,
"2023/7/31,0:48:23",,0,0,AAT11,1,,,,,
"2023/7/31,0:56:26",,0,0,AA11,1,,,,,
"2023/7/31,1:20:33",,0,0,AT1,1,,,,,
"2023/7/31,1:28:40",,0,0,AA1,1,,,,,
"2023/7/31,1:52:18",,0,0,BA1,1,,,,,
"2023/7/31,2:3:12",AKK8125,,,,,1,1,AKK8125,1,1,
"2023/7/31,4:2:33",BBM9626,1,1,BBM9626,1,1,1,BBM9626,1,0,
"2023/7/31,5:48:24",BBM9626,,,,,1,1,BBM9626,1,1,
"2023/7/31,6:19:53",ARE1316,1,1,ARE1316,1,1,1,ARE1316,1,0,
"2023/7/31,7:46:45",BBM9626,,,,,1,1,BBM9626,1,0,
"2023/7/31,8:23:50",5118S7,1,1,5118S7,1,1,1,5118S7,1,0,
"2023/7/31,8:32:26",ATL6867,1,1,ATL6867,1,1,1,ATL6867,1,0,
"2023/7/31,8:54:23",ATL6867,1,1,ATL6867,1,,,,,1,
"2023/7/31,9:19:13",,0,0,T55K52,1,,,,,
"2023/7/31,9:18:30",ANY3599,,,,,1,1,ANY3599,1,0,
"2023/7/31,9:40:18",BAZ0697,,,,,1,1,BAZ0697,1,0,
"2023/7/31,10:35:10",BJW9155,,,,,1,1,BJW9155,1,0,
"2023/7/31,11:11:44",BBE2770,1,1,BBE2770,1,1,1,BBE2770,1,0,
"2023/7/31,11:21:18",BAZ0697,1,1,BAZ0697,1,1,1,BAZ0697,1,1,
"2023/7/31,11:33:11",ANY3599,1,1,ANY3599,1,1,1,ANY3599,1,1,
"2023/7/31,15:11:12",BBM9626,1,1,BBM9626,1,1,1,BBM9626,1,1,
